sampleInputs/_quran-		simple-clean.txt	simple-enhanced.txt	simple-min.txt	simple.txt	uthmani-min.txt	uthmani-A.txt	uthmani-B.txt	stdev.s
0	0	411084	698697	613258	701897	615560	714595	721238	0
0xa	\n	6238	6238	6238	6238	6238	6238	6238	0
0x20	' '	72009	76587	76587	76587	76220	76220	76220	1671
0x621	ء	1578	1578	1578	1578	3060	3059	3059	792
0x622	آ	1511	1511	1511	1511	0	0	0	0
0x623	أ	9119	9119	9119	9119	8901	8900	8900	117
0x624	ؤ	673	673	673	673	706	706	706	18
0x625	إ	5108	5108	5108	5108	5088	5088	5088	11
0x626	ئ	1182	1182	1182	1182	921	921	921	140
0x627	ا	43878	43878	43878	43878	39002	25184	25184	8827
0x628	ب	11603	11603	11603	11603	11603	11603	11603	0
0x629	ة	2344	2344	2344	2344	2344	2344	2344	0
0x62a	ت	10520	10520	10520	10520	10520	10520	10520	0
0x62b	ث	1414	1414	1414	1414	1414	1414	1414	0
0x62c	ج	3317	3317	3317	3317	3317	3317	3317	0
0x62d	ح	4364	4364	4364	4364	4364	4364	4364	0
0x62e	خ	2497	2497	2497	2497	2497	2497	2497	0
0x62f	د	5991	5991	5991	5991	5991	5991	5991	0
0x630	ذ	4932	4932	4932	4932	4932	4932	4932	0
0x631	ر	12627	12627	12627	12627	12627	12627	12627	0
0x632	ز	1599	1599	1599	1599	1599	1599	1599	0
0x633	س	6124	6124	6124	6124	6122	6122	6122	1
0x634	ش	2124	2124	2124	2124	2124	2124	2124	0
0x635	ص	2072	2072	2072	2072	2074	2074	2074	1
0x636	ض	1686	1686	1686	1686	1686	1686	1686	0
0x637	ط	1273	1273	1273	1273	1273	1273	1273	0
0x638	ظ	853	853	853	853	853	853	853	0
0x639	ع	9405	9405	9405	9405	9405	9405	9405	0
0x63a	غ	1221	1221	1221	1221	1221	1221	1221	0
0x640	ـ	0	0	0	0	495	495	495	0
0x641	ف	8747	8747	8747	8747	8747	8747	8747	0
0x642	ق	7034	7034	7034	7034	7034	7034	7034	0
0x643	ك	10497	10497	10497	10497	10497	10497	10497	0
0x644	ل	38639	38639	38639	38639	38550	38550	38550	48
0x645	م	27071	27071	27071	27071	27071	27071	27071	0
0x646	ن	27382	27382	27382	27382	27380	27380	27380	1
0x647	ه	14962	14962	14962	14962	14962	14962	14962	0
0x648	و	24813	24813	24813	24813	24970	24970	24970	84
0x649	ى	2592	2592	2592	2592	6365	6605	6605	2104
0x64a	ي	22085	22085	22085	22085	18574	18334	18334	1964
0x64b	ً	0	3742	3742	3742	3741	3741	3741	1
0x64c	ٌ	0	2519	2519	2519	2519	2519	2519	0
0x64d	ٍ	0	2633	2633	2633	2633	2633	2633	0
0x64e	َ	0	121886	96040	121886	95999	123396	123396	13764
0x64f	ُ	0	37320	28052	37320	28052	37320	37320	4786
0x650	ِ	0	46642	37457	46642	37457	46642	46642	4743
0x651	ّ	0	23016	19248	19248	19249	23016	23016	2064
0x652	ْ	0	37372	0	44340	0	37372	37372	3484
0x653	ٓ	0	0	0	0	0	5376	5376	0
0x654	ٔ	0	0	0	0	495	496	496	1
0x670	ٰ	0	3327	3327	3327	9837	9838	9838	3566
0x671	ٱ	0	0	0	0	0	13819	13819	0
0x6d6	ۖ	0	1682	1682	1682	1682	1682	1682	0
0x6d7	ۗ	0	603	603	603	603	603	603	0
0x6d8	ۘ	0	22	22	22	22	22	22	0
0x6d9	ۙ	0	68	68	68	68	68	68	0
0x6da	ۚ	0	1972	1972	1972	1972	1972	1972	0
0x6db	ۛ	0	12	12	12	12	12	12	0
0x6dc	ۜ	0	5	5	5	7	7	7	1
0x6de	۞	0	199	199	199	199	199	199	0
0x6df	۟	0	0	0	0	92	3988	3988	2249
0x6e0	۠	0	0	0	0	66	66	66	0
0x6e2	ۢ	0	0	0	0	0	510	2445	1368
0x6e3	ۣ	0	0	0	0	1	1	1	0
0x6e5	ۥ	0	0	0	0	29	1257	1257	709
0x6e6	ۦ	0	0	0	0	60	995	995	540
0x6e8	ۨ	0	0	0	0	1	1	1	0
0x6e9	۩	0	15	15	15	15	15	15	0
0x6ea	۪	0	0	0	0	1	1	1	0
0x6eb	۫	0	0	0	0	1	1	1	0
0x6ec	۬	0	0	0	0	0	1	1	0
0x6ed	ۭ	0	0	0	0	0	99	4807	3329
